(('8d', '4h'), 0.36615488215488207)
(('8d', '5c'), 0.4379259259259259)
(('8d', 'Ts'), 0.5163164983164983)
(('8d', 'Kc'), 0.5550404040404041)
(('8d', 'Qh'), 0.5167037037037037)
(('8d', '8s'), 0.6761212121212122)
(('8d', 'Kh'), 0.5493097643097643)
(('8d', 'Tc'), 0.5016195286195286)
(('8d', 'Qd'), 0.5482390572390572)
(('Th', '6c'), 0.44904377104377097)
(('Th', 'Qs'), 0.5840370370370371)
(('Th', '3s'), 0.42441077441077435)
(('Th', 'Js'), 0.5614377104377105)
(('Th', 'Ac'), 0.6520942760942762)
(('Th', '7d'), 0.4835185185185185)
(('Th', '8h'), 0.49658249158249157)
(('Th', '2h'), 0.44459259259259254)
(('Th', '7h'), 0.5252020202020202)
(('Th', '9s'), 0.533976430976431)
(('Th', 'Td'), 0.7427373737373739)
(('Th', '2s'), 0.39947138047138037)
(('Th', 'Ah'), 0.6390572390572391)
(('Th', '4c'), 0.415097643097643)
(('Th', '5h'), 0.4856666666666666)
(('Th', 'Ks'), 0.6227542087542088)
(('Th', 'Jh'), 0.5421279461279461)
(('Th', 'Ad'), 0.6092592592592593)
(('Th', '6h'), 0.4905521885521885)
(('Th', '9h'), 0.573043771043771)
(('Th', '5s'), 0.43399999999999994)
(('Th', '4s'), 0.4145791245791245)
(('Th', 'Jd'), 0.5011447811447811)
(('Th', '8c'), 0.5455454545454546)
(('Th', '7c'), 0.47318518518518515)
(('Th', '9d'), 0.5223703703703704)
(('Th', 'Kd'), 0.5248585858585858)
(('Th', 'As'), 0.6375656565656567)
(('Th', '7s'), 0.48496632996632993)
(('Th', '3h'), 0.43519865319865314)
(('Th', '6s'), 0.4687643097643097)
(('Th', '2d'), 0.48346801346801344)
(('Th', '3d'), 0.44630639730639726)
(('Th', '5d'), 0.4575757575757575)
(('Th', '6d'), 0.46522895622895616)
(('Th', '3c'), 0.4006936026936026)
(('Th', 'Jc'), 0.5525521885521886)
(('Th', '4h'), 0.46288215488215484)
(('Th', '5c'), 0.4022020202020201)
(('Th', 'Ts'), 0.7595589225589228)
(('Th', 'Kc'), 0.5710740740740741)
(('Th', 'Qh'), 0.5547542087542088)
(('Th', '8s'), 0.534986531986532)
(('Th', 'Kh'), 0.6422558922558923)
(('Th', 'Tc'), 0.7500269360269362)
(('Th', 'Qd'), 0.6053737373737375)
(('6c', 'Qs'), 0.4892255892255892)
(('6c', '3s'), 0.3544478114478114)
(('6c', 'Js'), 0.49227946127946126)
(('6c', 'Ac'), 0.5913131313131313)
(('6c', '7d'), 0.42158922558922557)
(('6c', '8h'), 0.4731649831649831)
(('6c', '2h'), 0.3409999999999999)
(('6c', '7h'), 0.4742323232323232)
(('6c', '9s'), 0.4195690235690235)
(('6c', 'Td'), 0.4711414141414141)
(('6c', '2s'), 0.3541784511784511)
(('6c', 'Ah'), 0.5768181818181819)
(('6c', '4c'), 0.5045690235690236)
(('6c', '5h'), 0.4028282828282828)
(('6c', 'Ks'), 0.5039124579124579)
(('6c', 'Jh'), 0.47188888888888886)
(('6c', 'Ad'), 0.5692996632996633)
(('6c', '6h'), 0.6473299663299664)
(('6c', '9h'), 0.4439629629629629)
(('6c', '5s'), 0.3969393939393939)
(('6c', '4s'), 0.36819865319865314)
(('6c', 'Jd'), 0.4582491582491582)
(('6c', '8c'), 0.4615622895622895)
(('6c', '7c'), 0.44795286195286194)
(('6c', '9d'), 0.4257575757575757)
(('6c', 'Kd'), 0.5577979797979798)
(('6c', 'As'), 0.5731750841750842)
(('6c', '7s'), 0.4261481481481481)
(('6c', '3h'), 0.37630639730639726)
(('6c', '6s'), 0.6299932659932661)
(('6c', '2d'), 0.34667340067340063)
(('6c', '3d'), 0.2931919191919191)
(('6c', '5d'), 0.40709764309764307)
(('6c', '6d'), 0.6454612794612795)
(('6c', '3c'), 0.48996632996633)
(('6c', 'Jc'), 0.5221279461279461)
(('6c', '4h'), 0.36938383838383837)
(('6c', '5c'), 0.4156632996632996)
(('6c', 'Ts'), 0.4957340067340067)
(('6c', 'Kc'), 0.5468350168350169)
(('6c', 'Qh'), 0.4682659932659932)
(('6c', '8s'), 0.43729966329966324)
(('6c', 'Kh'), 0.5553602693602694)
(('6c', 'Tc'), 0.5111548821548821)
(('6c', 'Qd'), 0.4761010101010101)
(('Qs', '3s'), 0.5138956228956229)
(('Qs', 'Js'), 0.645013468013468)
(('Qs', 'Ac'), 0.6374478114478116)
(('Qs', '7d'), 0.4863501683501683)
(('Qs', '8h'), 0.5762289562289563)
(('Qs', '2h'), 0.45408080808080803)
(('Qs', '7h'), 0.5149461279461279)
(('Qs', '9s'), 0.5898855218855219)
(('Qs', 'Td'), 0.5797003367003367)
(('Qs', '2s'), 0.4796531986531986)
